Project,Train,Valid,Test
PXD026629,47589,1713,9348
PXD031032,51504,564,23766
PXD031025,40462,87,3378
PXD026649,357489,9103,50668
PXD047898,257822,4,61130
PXD044641,17321,75,2433
PXD025859,151334,2853,130385
PXD035158,142844,1650,43168
