Project,Train,Valid,Test
PXD026629,42611,1651,4874
PXD031032,33350,379,16383
PXD031025,39752,81,2989
PXD026649,285617,6139,25259
PXD047898,182953,4,24320
PXD044641,14495,31,820
PXD025859,83339,1306,56900
PXD035158,101782,1183,20319
